type,question,answertype
identifying,"How many mappings are shown in the visualization in total?",number
indentifying,"How many classes is [ClassA] in the left ontology mapped to?",number
identifying,"What is [ClassA] in the left ontology mapped to in the right ontology?",class
identifying,"Does the mapping from [ClassA] (in the left ontology) to [ClassB] (in the right ontology) exist in the visualization?",class
validation,"",class
validation,"Is [ClassA] in the left ontology is correctly mapped?",class
creation,"[ClassA]-->[ClassB]. Are there any other mappings that should be created between the given ontology pair but are currently absent from the visualization?",class
creation,"Can [ClassA] be mapped to another class in the right ontology?",class
creation,"Which class could [ClassA] be mapped to in the right ontology?",class
